date,sales
2013-01-01,1316
2013-01-02,1264
2013-01-03,1305
2013-01-04,1452
2013-01-05,1499
2013-01-06,1613
2013-01-07,1012
2013-01-08,1228
2013-01-09,1243
2013-01-10,1339
2013-01-11,1391
2013-01-12,1491
2013-01-13,1585
2013-01-14,1048
2013-01-15,1279
2013-01-16,1232
2013-01-17,1303
2013-01-18,1368
2013-01-19,1450
2013-01-20,1607
2013-01-21,1027
2013-01-22,1284
2013-01-23,1187
2013-01-24,1327
2013-01-25,1396
2013-01-26,1443
2013-01-27,1565
2013-01-28,1045
2013-01-29,1238
2013-01-30,1152
2013-01-31,1388
2013-02-01,1643
2013-02-02,1656
2013-02-03,1704
2013-02-04,1186
2013-02-05,1319
2013-02-06,1332
2013-02-07,1474
2013-02-08,1606
2013-02-09,1617
2013-02-10,1747
2013-02-11,1141
2013-02-12,1406
2013-02-13,1376
2013-02-14,1418
2013-02-15,1572
2013-02-16,1645
2013-02-17,1779
2013-02-18,1225
2013-02-19,1370
2013-02-20,1350
2013-02-21,1476
2013-02-22,1587
2013-02-23,1689
2013-02-24,1728
2013-02-25,1173
2013-02-26,1348
2013-02-27,1279
2013-02-28,1460
2013-03-01,1933
2013-03-02,2011
2013-03-03,2102
2013-03-04,1406
2013-03-05,1622
2013-03-06,1716
2013-03-07,1816
2013-03-08,1916
2013-03-09,1989
2013-03-10,2149
2013-03-11,1365
2013-03-12,1580
2013-03-13,1607
2013-03-14,1755
2013-03-15,1817
2013-03-16,2057
2013-03-17,2065
2013-03-18,1479
2013-03-19,1675
2013-03-20,1692
2013-03-21,1709
2013-03-22,1802
2013-03-23,1979
2013-03-24,2093
2013-03-25,1376
2013-03-26,1625
2013-03-27,1574
2013-03-28,1816
2013-03-29,1889
2013-03-30,2052
2013-03-31,2160
2013-04-01,1711
2013-04-02,1875
2013-04-03,1894
2013-04-04,2048
2013-04-05,2178
2013-04-06,2447
2013-04-07,2465
2013-04-08,1569
2013-04-09,1934
2013-04-10,1952
2013-04-11,2055
2013-04-12,2159
2013-04-13,2369
2013-04-14,2504
2013-04-15,1682
2013-04-16,1909
2013-04-17,1867
2013-04-18,1982
2013-04-19,2144
2013-04-20,2266
2013-04-21,2518
2013-04-22,1637
2013-04-23,1938
2013-04-24,1990
2013-04-25,2037
2013-04-26,2169
2013-04-27,2265
2013-04-28,2461
2013-04-29,1565
2013-04-30,1933
2013-05-01,2111
2013-05-02,2273
2013-05-03,2315
2013-05-04,2504
2013-05-05,2533
2013-05-06,1774
2013-05-07,2046
2013-05-08,2083
2013-05-09,2171
2013-05-10,2384
2013-05-11,2431
2013-05-12,2577
2013-05-13,1725
2013-05-14,2019
2013-05-15,2092
2013-05-16,2191
2013-05-17,2420
2013-05-18,2547
2013-05-19,2663
2013-05-20,1767
2013-05-21,2044
2013-05-22,2119
2013-05-23,2306
2013-05-24,2396
2013-05-25,2522
2013-05-26,2766
2013-05-27,1787
2013-05-28,2049
2013-05-29,2065
2013-05-30,2204
2013-05-31,2388
2013-06-01,2631
2013-06-02,2736
2013-06-03,1874
2013-06-04,2184
2013-06-05,2155
2013-06-06,2300
2013-06-07,2427
2013-06-08,2657
2013-06-09,2903
2013-06-10,1957
2013-06-11,2187
2013-06-12,2231
2013-06-13,2275
2013-06-14,2511
2013-06-15,2647
2013-06-16,2838
2013-06-17,1790
2013-06-18,2176
2013-06-19,2243
2013-06-20,2279
2013-06-21,2527
2013-06-22,2701
2013-06-23,2880
2013-06-24,1961
2013-06-25,2138
2013-06-26,2187
2013-06-27,2366
2013-06-28,2426
2013-06-29,2569
2013-06-30,2775
2013-07-01,1923
2013-07-02,2354
2013-07-03,2283
2013-07-04,2532
2013-07-05,2668
2013-07-06,2849
2013-07-07,2998
2013-07-08,2145
2013-07-09,2274
2013-07-10,2288
2013-07-11,2494
2013-07-12,2654
2013-07-13,2838
2013-07-14,3022
2013-07-15,2058
2013-07-16,2402
2013-07-17,2319
2013-07-18,2495
2013-07-19,2693
2013-07-20,2861
2013-07-21,2934
2013-07-22,1998
2013-07-23,2325
2013-07-24,2328
2013-07-25,2532
2013-07-26,2659
2013-07-27,2868
2013-07-28,3009
2013-07-29,1965
2013-07-30,2407
2013-07-31,2352
2013-08-01,2260
2013-08-02,2370
2013-08-03,2497
2013-08-04,2685
2013-08-05,1788
2013-08-06,2129
2013-08-07,2020
2013-08-08,2170
2013-08-09,2392
2013-08-10,2511
2013-08-11,2633
2013-08-12,1793
2013-08-13,2081
2013-08-14,2080
2013-08-15,2250
2013-08-16,2418
2013-08-17,2637
2013-08-18,2575
2013-08-19,1762
2013-08-20,2083
2013-08-21,2061
2013-08-22,2253
2013-08-23,2354
2013-08-24,2508
2013-08-25,2601
2013-08-26,1759
2013-08-27,2053
2013-08-28,2018
2013-08-29,2175
2013-08-30,2310
2013-08-31,2519
2013-09-01,2467
2013-09-02,1655
2013-09-03,1908
2013-09-04,1882
2013-09-05,2096
2013-09-06,2128
2013-09-07,2393
2013-09-08,2514
2013-09-09,1601
2013-09-10,1890
2013-09-11,1905
2013-09-12,2032
2013-09-13,2199
2013-09-14,2339
2013-09-15,2490
2013-09-16,1662
2013-09-17,1839
2013-09-18,1994
2013-09-19,2081
2013-09-20,2134
2013-09-21,2385
2013-09-22,2454
2013-09-23,1715
2013-09-24,1930
2013-09-25,1987
2013-09-26,2043
2013-09-27,2272
2013-09-28,2250
2013-09-29,2547
2013-09-30,1616
2013-10-01,1712
2013-10-02,1771
2013-10-03,1873
2013-10-04,2006
2013-10-05,2091
2013-10-06,2397
2013-10-07,1483
2013-10-08,1746
2013-10-09,1828
2013-10-10,1892
2013-10-11,2038
2013-10-12,2133
2013-10-13,2246
2013-10-14,1525
2013-10-15,1802
2013-10-16,1805
2013-10-17,1898
2013-10-18,2027
2013-10-19,2163
2013-10-20,2260
2013-10-21,1533
2013-10-22,1819
2013-10-23,1825
2013-10-24,1926
2013-10-25,2008
2013-10-26,2161
2013-10-27,2231
2013-10-28,1502
2013-10-29,1764
2013-10-30,1801
2013-10-31,1864
2013-11-01,2230
2013-11-02,2340
2013-11-03,2477
2013-11-04,1569
2013-11-05,1970
2013-11-06,1952
2013-11-07,2029
2013-11-08,2187
2013-11-09,2275
2013-11-10,2407
2013-11-11,1632
2013-11-12,1912
2013-11-13,1872
2013-11-14,2033
2013-11-15,2257
2013-11-16,2288
2013-11-17,2408
2013-11-18,1581
2013-11-19,1909
2013-11-20,1942
2013-11-21,2042
2013-11-22,2227
2013-11-23,2325
2013-11-24,2455
2013-11-25,1565
2013-11-26,1953
2013-11-27,1959
2013-11-28,2015
2013-11-29,2283
2013-11-30,2371
2013-12-01,1833
2013-12-02,1177
2013-12-03,1369
2013-12-04,1435
2013-12-05,1482
2013-12-06,1603
2013-12-07,1710
2013-12-08,1826
2013-12-09,1151
2013-12-10,1355
2013-12-11,1352
2013-12-12,1528
2013-12-13,1536
2013-12-14,1646
2013-12-15,1851
2013-12-16,1154
2013-12-17,1354
2013-12-18,1301
2013-12-19,1451
2013-12-20,1549
2013-12-21,1709
2013-12-22,1806
2013-12-23,1141
2013-12-24,1369
2013-12-25,1425
2013-12-26,1505
2013-12-27,1527
2013-12-28,1622
2013-12-29,1750
2013-12-30,1181
2013-12-31,1331
2014-01-01,1366
2014-01-02,1559
2014-01-03,1569
2014-01-04,1692
2014-01-05,1946
2014-01-06,1179
2014-01-07,1444
2014-01-08,1460
2014-01-09,1599
2014-01-10,1642
2014-01-11,1723
2014-01-12,1806
2014-01-13,1217
2014-01-14,1484
2014-01-15,1362
2014-01-16,1535
2014-01-17,1642
2014-01-18,1738
2014-01-19,1853
2014-01-20,1238
2014-01-21,1369
2014-01-22,1433
2014-01-23,1507
2014-01-24,1654
2014-01-25,1733
2014-01-26,1851
2014-01-27,1186
2014-01-28,1411
2014-01-29,1455
2014-01-30,1496
2014-01-31,1639
2014-02-01,1890
2014-02-02,2010
2014-02-03,1382
2014-02-04,1567
2014-02-05,1589
2014-02-06,1733
2014-02-07,1758
2014-02-08,1998
2014-02-09,2024
2014-02-10,1317
2014-02-11,1557
2014-02-12,1584
2014-02-13,1706
2014-02-14,1833
2014-02-15,1958
2014-02-16,2024
2014-02-17,1368
2014-02-18,1582
2014-02-19,1556
2014-02-20,1704
2014-02-21,1755
2014-02-22,1918
2014-02-23,2104
2014-02-24,1324
2014-02-25,1557
2014-02-26,1589
2014-02-27,1674
2014-02-28,1777
2014-03-01,2271
2014-03-02,2433
2014-03-03,1650
2014-03-04,1964
2014-03-05,1919
2014-03-06,1983
2014-03-07,2225
2014-03-08,2297
2014-03-09,2514
2014-03-10,1588
2014-03-11,1878
2014-03-12,1866
2014-03-13,2045
2014-03-14,2087
2014-03-15,2318
2014-03-16,2405
2014-03-17,1619
2014-03-18,1948
2014-03-19,1952
2014-03-20,1972
2014-03-21,2181
2014-03-22,2273
2014-03-23,2445
2014-03-24,1631
2014-03-25,1841
2014-03-26,1940
2014-03-27,2006
2014-03-28,2136
2014-03-29,2293
2014-03-30,2411
2014-03-31,1638
2014-04-01,2178
2014-04-02,2154
2014-04-03,2394
2014-04-04,2486
2014-04-05,2678
2014-04-06,2938
2014-04-07,1912
2014-04-08,2135
2014-04-09,2150
2014-04-10,2431
2014-04-11,2504
2014-04-12,2754
2014-04-13,2833
2014-04-14,1955
2014-04-15,2159
2014-04-16,2125
2014-04-17,2397
2014-04-18,2487
2014-04-19,2740
2014-04-20,2885
2014-04-21,1844
2014-04-22,2259
2014-04-23,2162
2014-04-24,2342
2014-04-25,2497
2014-04-26,2707
2014-04-27,2774
2014-04-28,1864
2014-04-29,2154
2014-04-30,2251
2014-05-01,2571
2014-05-02,2747
2014-05-03,2877
2014-05-04,3024
2014-05-05,2046
2014-05-06,2348
2014-05-07,2400
2014-05-08,2481
2014-05-09,2632
2014-05-10,2923
2014-05-11,3116
2014-05-12,2098
2014-05-13,2432
2014-05-14,2381
2014-05-15,2590
2014-05-16,2740
2014-05-17,2910
2014-05-18,3079
2014-05-19,1994
2014-05-20,2344
2014-05-21,2346
2014-05-22,2554
2014-05-23,2671
2014-05-24,2810
2014-05-25,3050
2014-05-26,1967
2014-05-27,2297
2014-05-28,2372
2014-05-29,2566
2014-05-30,2812
2014-05-31,2930
2014-06-01,3361
2014-06-02,2266
2014-06-03,2507
2014-06-04,2541
2014-06-05,2678
2014-06-06,2839
2014-06-07,3014
2014-06-08,3267
2014-06-09,2127
2014-06-10,2563
2014-06-11,2606
2014-06-12,2643
2014-06-13,2916
2014-06-14,3059
2014-06-15,3314
2014-06-16,2141
2014-06-17,2615
2014-06-18,2504
2014-06-19,2764
2014-06-20,2701
2014-06-21,3102
2014-06-22,3320
2014-06-23,2184
2014-06-24,2445
2014-06-25,2555
2014-06-26,2787
2014-06-27,2788
2014-06-28,3137
2014-06-29,3274
2014-06-30,2178
2014-07-01,2655
2014-07-02,2692
2014-07-03,2859
2014-07-04,3050
2014-07-05,3128
2014-07-06,3470
2014-07-07,2262
2014-07-08,2684
2014-07-09,2668
2014-07-10,2871
2014-07-11,3027
2014-07-12,3203
2014-07-13,3485
2014-07-14,2285
